id,url,name,tags,description,license,duration,previews
480665,https://freesound.org/people/craigsmith/sounds/480665/,R18-15-Fast Varying Footsteps in Room.wav,"['Vintage', 'Optical', 'Footsteps', 'Human']","Heavy, indistinct footsteps in empty room. One person. Quick, as if rushing. Repeats.",http://creativecommons.org/publicdomain/zero/1.0/,8.66094,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/480/480665_2524442-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/480/480665_2524442-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/480/480665_2524442-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/480/480665_2524442-lq.ogg'}"
480667,https://freesound.org/people/craigsmith/sounds/480667/,R19-18-Footsteps on Gravel Path.wav,"['Vintage', 'Optical', 'Footsteps', 'Human']",Footsteps walk by quickly on gravel and dirt path. Too close. Distorted.,http://creativecommons.org/publicdomain/zero/1.0/,10.0,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/480/480667_2524442-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/480/480667_2524442-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/480/480667_2524442-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/480/480667_2524442-lq.ogg'}"
480670,https://freesound.org/people/craigsmith/sounds/480670/,R22-31-Footsteps Wood Floor with Creaks.wav,"['Vintage', 'Optical', 'Footsteps', 'Human']","Slow footsteps on creaking wooden floor,",http://creativecommons.org/publicdomain/zero/1.0/,25.8382,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/480/480670_2524442-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/480/480670_2524442-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/480/480670_2524442-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/480/480670_2524442-lq.ogg'}"
480666,https://freesound.org/people/craigsmith/sounds/480666/,R19-07-Footsteps on wood with Leather.wav,"['Vintage', 'Optical', 'Footsteps', 'Human']",Foley footsteps on wood. Then odd squeaks. Could be a turn. Could be leather movement.,http://creativecommons.org/publicdomain/zero/1.0/,42.2572,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/480/480666_2524442-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/480/480666_2524442-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/480/480666_2524442-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/480/480666_2524442-lq.ogg'}"
480621,https://freesound.org/people/craigsmith/sounds/480621/,R10-35-Footsteps in Deep Snow.wav,"['Vintage', 'Optical', 'Footsteps', 'Human']","Footsteps in deep snow. Slow, heavy footsteps. Loop.",http://creativecommons.org/publicdomain/zero/1.0/,63.7668,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/480/480621_2524442-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/480/480621_2524442-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/480/480621_2524442-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/480/480621_2524442-lq.ogg'}"
480678,https://freesound.org/people/craigsmith/sounds/480678/,R30-17-Slow Hard Footsteps in Small Room.wav,"['Vintage', 'Optical', 'Footsteps', 'Human']","Slow deliberate footsteps. Hard rubber shoes on hard floor in small room. Odd early reflections. Cut-off voice slate seems to say ""Woman on stairs"".",http://creativecommons.org/publicdomain/zero/1.0/,48.5191,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/480/480678_2524442-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/480/480678_2524442-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/480/480678_2524442-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/480/480678_2524442-lq.ogg'}"
487193,https://freesound.org/people/CUDenverSound/sounds/487193/,MaleFootsteps3.wav,"['Foley', 'Concrete', 'Footsteps']","Bike is stolen footsteps, pacing",https://creativecommons.org/licenses/by/4.0/,24.9787,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/487/487193_10475198-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/487/487193_10475198-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/487/487193_10475198-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/487/487193_10475198-lq.ogg'}"
777609,https://freesound.org/people/YannSauvin/sounds/777609/,"Footsteps on beach, sand and water","['beach', 'footsteps', 'sand', 'water']",Footsteps sand,http://creativecommons.org/publicdomain/zero/1.0/,114.0,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/777/777609_6921828-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/777/777609_6921828-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/777/777609_6921828-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/777/777609_6921828-lq.ogg'}"
480629,https://freesound.org/people/craigsmith/sounds/480629/,R10-43-Footsteps on Hard Hollow Floor.wav,"['Vintage', 'Optical', 'Footsteps', 'Human']",Footsteps walking on linoleum or wooden floor. . Heavy hollow steps.,http://creativecommons.org/publicdomain/zero/1.0/,16.192,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/480/480629_2524442-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/480/480629_2524442-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/480/480629_2524442-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/480/480629_2524442-lq.ogg'}"
729198,https://freesound.org/people/TechspiredMinds/sounds/729198/,Footsteps Gravel/Rock/Pebbles 3/8,"['Steps', 'Gravel', 'Nature', 'Rocks', 'Walking', 'Footwear', 'Terrain', 'Outdoor', 'Hiking', 'Footsteps', 'Crunchy', 'Trail', 'Ground', 'Pebbles']","Single footstep on Gravel/Rock/Pebbles. Check out all of the 8 footstep in my pack.

I'd love to see where this sound is used. Share your links! :)",https://creativecommons.org/licenses/by/4.0/,0.284156,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/729/729198_15690038-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/729/729198_15690038-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/729/729198_15690038-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/729/729198_15690038-lq.ogg'}"
480625,https://freesound.org/people/craigsmith/sounds/480625/,R10-39-Outdoor Footsteps.wav,"['Vintage', 'Optical', 'Footsteps', 'Human']","Outdoor footsteps, Sliding and walking on ground. Microphone is very close.",http://creativecommons.org/publicdomain/zero/1.0/,25.1006,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/480/480625_2524442-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/480/480625_2524442-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/480/480625_2524442-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/480/480625_2524442-lq.ogg'}"
777605,https://freesound.org/people/YannSauvin/sounds/777605/,Footsteps boots forest,"['boots', 'footsteps', 'exterior']",Footsteps boots forest,http://creativecommons.org/publicdomain/zero/1.0/,28.5,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/777/777605_6921828-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/777/777605_6921828-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/777/777605_6921828-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/777/777605_6921828-lq.ogg'}"
384866,https://freesound.org/people/Ali_6868/sounds/384866/,Right Grass/Grassy Footstep 3,"['right-foot', 'walking', 'crisp', 'grassy', 'bracken', 'footstep', 'Dry-grass', 'walk', 'feet', 'field', 'step', 'steps', 'foot', 'grass', 'footsteps', 'foot-step']","A footstep (right foot) on a dry grassy surface. Originally recorded these for a University project, but thought they could be of some use to someone.",http://creativecommons.org/publicdomain/zero/1.0/,1.0,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/384/384866_984733-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/384/384866_984733-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/384/384866_984733-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/384/384866_984733-lq.ogg'}"
703644,https://freesound.org/people/hobonski/sounds/703644/,"Voices, footsteps on the sandy road.","['Footsteps', 'Crowd', 'Hammer', 'Culture', 'Music', 'Voices', 'Medieval', 'Blacksmith']","The sound environment of a festival of medieval culture. Voices, footsteps on the sandy road, distant sounds of medieval music.",http://creativecommons.org/publicdomain/zero/1.0/,76.0,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/703/703644_15247766-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/703/703644_15247766-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/703/703644_15247766-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/703/703644_15247766-lq.ogg'}"
620343,https://freesound.org/people/marb7e/sounds/620343/,Footsteps_Stiletto_Stone_Walk01.wav,"['stone', 'woman', 'tiles', 'stiletto', 'walk', 'tile', 'step', 'steps', 'foot', 'footsteps']","A small collection of footsteps:

This time it is stiletto on tiles or just stone floor.

Enjoy and look out for the other footsteps packs :)",https://creativecommons.org/licenses/by/4.0/,1.1249,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/620/620343_13732472-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/620/620343_13732472-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/620/620343_13732472-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/620/620343_13732472-lq.ogg'}"
480641,https://freesound.org/people/craigsmith/sounds/480641/,R10-56-Footsteps on Metal Staircase.wav,"['Vintage', 'Optical', 'Footsteps', 'Human']",Footsteps up or down metal stairs. Medium-paced.,http://creativecommons.org/publicdomain/zero/1.0/,7.38102,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/480/480641_2524442-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/480/480641_2524442-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/480/480641_2524442-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/480/480641_2524442-lq.ogg'}"
329603,https://freesound.org/people/InspectorJ/sounds/329603/,"Footsteps, Muddy, D.wav","['watery', 'Watery', 'Squidgy', 'mud', 'Footstep', 'Footsteps', 'muddy', 'Squelch', 'Step', 'foot', 'step', 'Foot', 'steps', 'Mud', 'squidgy', 'squelch', 'Steps', 'Muddy', 'footsteps', 'footstep']","Raw audio of footsteps in some squelchy mud.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Footsteps, Muddy, D.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""Sony ICDPX333.CE7 4GB PX Series MP3 Digital Voice IC Recorder"" on 17th November 2015.",https://creativecommons.org/licenses/by/4.0/,23.8758,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/329/329603_5121236-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/329/329603_5121236-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/329/329603_5121236-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/329/329603_5121236-lq.ogg'}"
480637,https://freesound.org/people/craigsmith/sounds/480637/,R10-51-Interior Footsteps.wav,"['Vintage', 'Optical', 'Footsteps', 'Human']","Interior footsteps on wooden floor. A run, and then a walk. High heels.",http://creativecommons.org/publicdomain/zero/1.0/,44.0028,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/480/480637_2524442-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/480/480637_2524442-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/480/480637_2524442-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/480/480637_2524442-lq.ogg'}"
480640,https://freesound.org/people/craigsmith/sounds/480640/,R10-55-Slow Confident Footsteps.wav,"['Vintage', 'Optical', 'Footsteps', 'Human']","Slow, confident footsteps across a room with wooden floor. Slight reverberation. Some floor creak.",http://creativecommons.org/publicdomain/zero/1.0/,35.4305,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/480/480640_2524442-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/480/480640_2524442-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/480/480640_2524442-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/480/480640_2524442-lq.ogg'}"
620342,https://freesound.org/people/marb7e/sounds/620342/,Footsteps_Stiletto_Stone_Walk02.wav,"['stone', 'woman', 'tiles', 'stiletto', 'walk', 'tile', 'step', 'steps', 'foot', 'footsteps']","A small collection of footsteps:

This time it is stiletto on tiles or just stone floor.

Enjoy and look out for the other footsteps packs :)",https://creativecommons.org/licenses/by/4.0/,1.13356,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/620/620342_13732472-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/620/620342_13732472-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/620/620342_13732472-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/620/620342_13732472-lq.ogg'}"
480631,https://freesound.org/people/craigsmith/sounds/480631/,R10-45-Footsteps in Snow or Outdoor Terrain.wav,"['Vintage', 'Optical', 'Footsteps', 'Human']",Walking in snow or other outdoor terrain. Steady footsteps. Gets louder in middle. Some stops and starts.,http://creativecommons.org/publicdomain/zero/1.0/,48.3394,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/480/480631_2524442-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/480/480631_2524442-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/480/480631_2524442-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/480/480631_2524442-lq.ogg'}"
628810,https://freesound.org/people/The_Underdog/sounds/628810/,Binaural Suburban Footsteps 2,"['walking', 'footstep', 'walk', 'feet', 'step', 'steps', 'foot', 'footsteps', 'suburban']","Binaural recording of footsteps in a suburban environment walking on crunchy stones. Part 2.

Best heard using earphones.

Recorded using Roland Cs-10Em with a Sony ICD-PX470.

Feel free to let me know what you do with the sound. :)",http://creativecommons.org/publicdomain/zero/1.0/,6.54785,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/628/628810_12493979-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/628/628810_12493979-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/628/628810_12493979-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/628/628810_12493979-lq.ogg'}"
384899,https://freesound.org/people/Ali_6868/sounds/384899/,Knight Left Footstep Forest/Grass 2 (With Chainmail),"['foley', 'foot-steps', 'walking', 'chainmail', 'Knight', 'footstep', 'walk', 'feet', 'left-foot', 'step', 'woods', 'steps', 'forest', 'knight', 'foot', 'path', 'grass', 'footsteps', 'foot-step', 'left']","A chainmail wearing knight’s footstep (left foot) through the woods/a forest. Originally recorded these for a University project, but thought they could be of some use to someone.",http://creativecommons.org/publicdomain/zero/1.0/,1.0,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/384/384899_984733-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/384/384899_984733-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/384/384899_984733-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/384/384899_984733-lq.ogg'}"
729203,https://freesound.org/people/TechspiredMinds/sounds/729203/,Footsteps Gravel/Rock/Pebbles 8/8,"['Steps', 'Gravel', 'Nature', 'Rocks', 'Walking', 'Footwear', 'Terrain', 'Outdoor', 'Hiking', 'Footsteps', 'Crunchy', 'Trail', 'Ground', 'Pebbles']","Single footstep on Gravel/Rock/Pebbles. Check out all of the 8 footstep in my pack.

I'd love to see where this sound is used. Share your links! :)",https://creativecommons.org/licenses/by/4.0/,0.453562,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/729/729203_15690038-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/729/729203_15690038-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/729/729203_15690038-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/729/729203_15690038-lq.ogg'}"
384893,https://freesound.org/people/Ali_6868/sounds/384893/,Knight Left Footstep Forest/Grass 6 (With Chainmail),"['foley', 'foot-steps', 'walking', 'chainmail', 'Knight', 'footstep', 'walk', 'feet', 'left-foot', 'step', 'woods', 'steps', 'forest', 'knight', 'foot', 'path', 'grass', 'footsteps', 'foot-step', 'left']","A chainmail wearing knight’s footstep (left foot) through the woods/a forest. Originally recorded these for a University project, but thought they could be of some use to someone.",http://creativecommons.org/publicdomain/zero/1.0/,0.875011,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/384/384893_984733-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/384/384893_984733-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/384/384893_984733-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/384/384893_984733-lq.ogg'}"
329604,https://freesound.org/people/InspectorJ/sounds/329604/,"Footsteps, Muddy, C.wav","['Foot', 'steps', 'watery', 'Watery', 'Squidgy', 'mud', 'Footstep', 'Footsteps', 'muddy', 'Squelch', 'Step', 'foot', 'step', 'Mud', 'squidgy', 'squelch', 'Steps', 'Muddy', 'footsteps', 'footstep']","Raw audio of footsteps in some squelchy mud. Apologies for the periodic wind interference and general background ambience.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Footsteps, Muddy, C.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""Sony ICDPX333.CE7 4GB PX Series MP3 Digital Voice IC Recorder"" on 17th November 2015.",https://creativecommons.org/licenses/by/4.0/,27.6746,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/329/329604_5121236-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/329/329604_5121236-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/329/329604_5121236-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/329/329604_5121236-lq.ogg'}"
729199,https://freesound.org/people/TechspiredMinds/sounds/729199/,Footsteps Gravel/Rock/Pebbles 4/8,"['Steps', 'Gravel', 'Nature', 'Rocks', 'Walking', 'Footwear', 'Terrain', 'Outdoor', 'Hiking', 'Footsteps', 'Crunchy', 'Trail', 'Ground', 'Pebbles']","Single footstep on Gravel/Rock/Pebbles. Check out all of the 8 footstep in my pack.

I'd love to see where this sound is used. Share your links! :)",https://creativecommons.org/licenses/by/4.0/,0.371812,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/729/729199_15690038-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/729/729199_15690038-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/729/729199_15690038-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/729/729199_15690038-lq.ogg'}"
480642,https://freesound.org/people/craigsmith/sounds/480642/,R10-57-Footsteps on Short Flight of Stairs.wav,"['Vintage', 'Optical', 'Footsteps', 'Human']","Quick footsteps, running up a very short flight of wooden stairs.",http://creativecommons.org/publicdomain/zero/1.0/,11.1871,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/480/480642_2524442-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/480/480642_2524442-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/480/480642_2524442-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/480/480642_2524442-lq.ogg'}"
275252,https://freesound.org/people/lwdickens/sounds/275252/,footsteps wooden dock low boomy.wav,"['dock', 'wood', 'footsteps']",Boomy footsteps recorded on a wooden dock. Recorded with a zoom H2N recorder.,https://creativecommons.org/licenses/by-nc/4.0/,9.216,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/275/275252_2663250-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/275/275252_2663250-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/275/275252_2663250-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/275/275252_2663250-lq.ogg'}"
729200,https://freesound.org/people/TechspiredMinds/sounds/729200/,Footsteps Gravel/Rock/Pebbles 5/8,"['Steps', 'Gravel', 'Nature', 'Rocks', 'Walking', 'Footwear', 'Terrain', 'Outdoor', 'Hiking', 'Footsteps', 'Crunchy', 'Trail', 'Ground', 'Pebbles']","Single footstep on Gravel/Rock/Pebbles. Check out all of the 8 footstep in my pack.

I'd love to see where this sound is used. Share your links! :)",https://creativecommons.org/licenses/by/4.0/,0.324562,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/729/729200_15690038-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/729/729200_15690038-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/729/729200_15690038-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/729/729200_15690038-lq.ogg'}"
777607,https://freesound.org/people/YannSauvin/sounds/777607/,Footsteps boots concrets,"['boots', 'footsteps', 'exterior']",Footsteps boots concrets,http://creativecommons.org/publicdomain/zero/1.0/,60.5013,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/777/777607_6921828-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/777/777607_6921828-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/777/777607_6921828-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/777/777607_6921828-lq.ogg'}"
620346,https://freesound.org/people/marb7e/sounds/620346/,Footsteps_Stiletto_Stone_Walk04.wav,"['stone', 'woman', 'tiles', 'stiletto', 'walk', 'tile', 'step', 'steps', 'foot', 'footsteps']","A small collection of footsteps:

This time it is stiletto on tiles or just stone floor.

Enjoy and look out for the other footsteps packs :)",https://creativecommons.org/licenses/by/4.0/,1.1249,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/620/620346_13732472-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/620/620346_13732472-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/620/620346_13732472-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/620/620346_13732472-lq.ogg'}"
384868,https://freesound.org/people/Ali_6868/sounds/384868/,Right Grass/Grassy Footstep 5,"['right-foot', 'walking', 'crisp', 'grassy', 'bracken', 'footstep', 'Dry-grass', 'walk', 'feet', 'field', 'step', 'steps', 'foot', 'grass', 'footsteps', 'foot-step']","A footstep (right foot) on a dry grassy surface. Originally recorded these for a University project, but thought they could be of some use to someone.",http://creativecommons.org/publicdomain/zero/1.0/,1.0,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/384/384868_984733-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/384/384868_984733-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/384/384868_984733-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/384/384868_984733-lq.ogg'}"
384896,https://freesound.org/people/Ali_6868/sounds/384896/,Knight Right Footstep Forest/Grass 4 (With Chainmail),"['foley', 'right-foot', 'walking', 'right', 'chainmail', 'Knight', 'footstep', 'foot-steps', 'walk', 'feet', 'step', 'woods', 'steps', 'forest', 'knight', 'foot', 'path', 'grass', 'footsteps', 'foot-step']","A chainmail wearing knight’s footstep (right foot) through the woods/a forest. Originally recorded these for a University project, but thought they could be of some use to someone.",http://creativecommons.org/publicdomain/zero/1.0/,0.874989,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/384/384896_984733-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/384/384896_984733-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/384/384896_984733-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/384/384896_984733-lq.ogg'}"
480623,https://freesound.org/people/craigsmith/sounds/480623/,R10-37-Creaking Footsteps with Shoe Squeak.wav,"['Vintage', 'Optical', 'Footsteps', 'Human']","Voices, creaking, footsteps on wooden floor. Door opening, shoes squeaking. Variety of sounds.",http://creativecommons.org/publicdomain/zero/1.0/,26.9982,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/480/480623_2524442-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/480/480623_2524442-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/480/480623_2524442-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/480/480623_2524442-lq.ogg'}"
624335,https://freesound.org/people/wwstudioswastaken/sounds/624335/,wet_footsteps_outside_08.flac,"['walking', 'footstep', 'walk', 'feet', 'mud', 'step', 'steps', 'foot', 'footsteps']","I recorded myself walking on some slightly mushy ground. You can hear a car driving by in the distance. I think can also hear my headphones moving around :( Some nice juicy mud footsteps happen near the end though. 

I hope someone can use it :D

Enjoy!",http://creativecommons.org/publicdomain/zero/1.0/,71.7647,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/624/624335_13582756-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/624/624335_13582756-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/624/624335_13582756-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/624/624335_13582756-lq.ogg'}"
